"Canton (-) / District (>>) / Commune (......)","Date et objet","Bulletins valables","Oui","Oui en %"
"Suisse","2019-05-19 Arrêté fédéral portant approbation et mise en oeuvre de l'échange de notes entre la Suisse et l'UE concernant la reprise de la directive (UE) 2017/853 modifiant la directive de l'UE sur les armes (Développement de l'acquis de Schengen)",2356154,1501880,63.74
"Suisse","2019-05-19 Loi fédérale relative à la réforme fiscale et au financement de l'AVS (RFFA)",2321604,1541147,66.38
"Suisse","2019-02-10 Initiative populaire «Stopper le mitage - pour un développement durable du milieu bâti (initiative contre le mitage)»",2028754,737241,36.34
"Suisse","2018-11-25 Modification de la loi fédérale sur la partie générale du droit des assurances sociales (LPGA) (Base légale pour la surveillance des assurés)",2577021,1667849,64.72
"Suisse","2018-11-25 Initiative populaire «Le droit suisse au lieu de juges étrangers (initiative pour l'autodétermination)»",2585789,872288,33.73
"Suisse","2018-11-25 Initiative populaire «Pour la dignité des animaux de rente agricoles (initiative pour les vaches à cornes)»",2528872,1144845,45.27
"Suisse","2018-09-23 Initiative populaire «Pour la souveraineté alimentaire. L'agriculture nous concerne toutes et tous»",1987195,628301,31.62
"Suisse","2018-09-23 Initiative populaire «Pour des denrées alimentaires saines et produites dans des conditions équitables et écologiques (initiative pour des aliments équitables)»",2002147,774821,38.70
"Suisse","2018-09-23 Arrêté fédéral concernant les voies cyclables et les chemins et sentiers pédestres (contre-projet direct à l'initiative populaire « Pour la promotion des voies cyclables et des chemins et sentiers pédestres [initiative vélo] »)",2004253,1475000,73.59
"Suisse","2018-06-10 Loi fédérale sur les jeux d'argent",1818231,1326207,72.94
"Suisse","2018-06-10 Initiative populaire «Pour une monnaie à l'abri des crises: émission monétaire uniquement par la Banque nationale! (Initiative Monnaie pleine)»",1821927,442387,24.28
"Suisse","2018-03-04 Initiative populaire «Oui à la suppression des redevances radio et télévision (suppression des redevances Billag)»",2932139,833837,28.44
"Suisse","2018-03-04 Arrêté fédéral concernant le nouveau régime financier 2021",2803550,2358086,84.11
"Suisse","2017-09-24 Loi fédérale sur la réforme de la prévoyance vieillesse 2020",2507155,1186203,47.31
"Suisse","2017-09-24 Arrêté fédéral sur le financement additionnel de l'AVS par le biais d'un relèvement de la taxe sur la valeur ajoutée",2511951,1254795,49.95
"Suisse","2017-09-24 Arrêté fédéral sur la sécurité alimentaire",2468099,1943180,78.73
"Suisse","2017-05-21 Loi sur l'énergie (LEne)",2271316,1322263,58.22
"Suisse","2017-02-12 Loi fédérale sur l'amélioration des conditions fiscales en vue de renforcer la compétitivité du site entrepreneurial suisse",2417473,989311,40.92
"Suisse","2017-02-12 Arrêté fédéral sur la création d'un fonds pour les routes nationales et pour le trafic d'agglomération",2427529,1503746,61.95
"Suisse","2017-02-12 Arrêté fédéral concernant la naturalisation facilitée des étrangers de la troisième génération",2482471,1499627,60.41
"Suisse","2016-11-27 Initiative populaire «Pour la sortie programmée de l'énergie nucléaire»",2400269,1099409,45.80
"Suisse","2016-09-25 Loi fédérale sur le renseignement (Lrens)",2227133,1459068,65.51
"Suisse","2016-09-25 Initiative populaire «AVSplus: pour une AVS forte»",2269407,921375,40.60
"Suisse","2016-09-25 Initiative populaire «Pour une économie durable et fondée sur une gestion efficiente des ressources (économie verte)»",2250043,819770,36.43
"Suisse","2016-06-05 Modification de la loi sur l'asile (LAsi)",2420683,1616597,66.78
"Suisse","2016-06-05 Loi fédérale sur la procréation médicalement assistée (LPMA)",2387735,1490417,62.42
"Suisse","2016-06-05 Initiative populaire «Pour un financement équitable des transports»",2429635,709974,29.22
"Suisse","2016-06-05 Initiative populaire «Pour un revenu de base inconditionnel»",2466188,568660,23.06
"Suisse","2016-06-05 Initiative populaire «En faveur du service public»",2422010,784303,32.38
"Suisse","2016-02-28 Loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard)",3304249,1883859,57.01
